Sample_ID	ClientName	SampleNumber	date_sampled	sample_matrix	technology	projectName	SampleName	LocationLat	LocationLon	LocationName	projectLink	AlternateName
3496	FSES Laboratory	A230162	1/19/23 11:30	PSD-Air	LDPE	St. Helens Air 2021-2023	SH009_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3491	FSES Laboratory	A230183	1/19/23 22:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH010_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3462	FSES Laboratory	A230324	2/17/23 9:46	PSD-Air	LDPE	St. Helens Air 2021-2023	C_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3509	FSES Laboratory	A230325	2/17/23 9:55	PSD-Air	LDPE	St. Helens Air 2021-2023	NW10_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3465	FSES Laboratory	A230328	2/17/23 9:41	PSD-Air	LDPE	St. Helens Air 2021-2023	SW10_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3502	FSES Laboratory	A230329	2/17/23 11:04	PSD-Air	LDPE	St. Helens Air 2021-2023	EO_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3561	FSES Laboratory	A230330	2/17/23 10:54	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_O_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3428	FSES Laboratory	A230331	2/17/23 10:17	PSD-Air	LDPE	St. Helens Air 2021-2023	RC_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3418	FSES Laboratory	A230332	2/17/23 10:25	PSD-Air	LDPE	St. Helens Air 2021-2023	MP_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3473	FSES Laboratory	A230333	2/17/23 10:39	PSD-Air	LDPE	St. Helens Air 2021-2023	L_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3531	FSES Laboratory	A230334	2/17/23 9:30	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_I_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3482	FSES Laboratory	A230436	2/17/23 7:28	PSD-Air	LDPE	St. Helens Air 2021-2023	SH021_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3510	FSES Laboratory	A230438	2/17/23 8:23	PSD-Air	LDPE	St. Helens Air 2021-2023	SH025_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3417	FSES Laboratory	A230440	2/17/23 14:20	PSD-Air	LDPE	St. Helens Air 2021-2023	SH026_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3567	FSES Laboratory	A230442	2/17/23 14:32	PSD-Air	LDPE	St. Helens Air 2021-2023	SH035_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3486	FSES Laboratory	A230492	2/17/23 16:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH019_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3438	FSES Laboratory	A230496	2/17/23 10:36	PSD-Air	LDPE	St. Helens Air 2021-2023	SH024_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3475	FSES Laboratory	A230498	2/17/23 20:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH027_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3485	FSES Laboratory	A230552	2/17/23 9:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SHS_O_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3463	FSES Laboratory	A230494	2/17/23 16:45	PSD-Air	LDPE	St. Helens Air 2021-2023	SH020_A_05	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3523	FSES Laboratory	A230699	3/17/23 9:22	PSD-Air	LDPE	St. Helens Air 2021-2023	SW10_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3584	FSES Laboratory	A230700	3/17/23 9:27	PSD-Air	LDPE	St. Helens Air 2021-2023	NW10_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3481	FSES Laboratory	A230701	3/17/23 9:31	PSD-Air	LDPE	St. Helens Air 2021-2023	C_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3514	FSES Laboratory	A230704	3/17/23 10:25	PSD-Air	LDPE	St. Helens Air 2021-2023	L_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3430	FSES Laboratory	A230705	3/17/23 10:48	PSD-Air	LDPE	St. Helens Air 2021-2023	EO_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3535	FSES Laboratory	A230706	3/17/23 10:12	PSD-Air	LDPE	St. Helens Air 2021-2023	MP_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3570	FSES Laboratory	A230707	3/17/23 10:38	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_O_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3581	FSES Laboratory	A230708	3/17/23 9:58	PSD-Air	LDPE	St. Helens Air 2021-2023	RC_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3569	FSES Laboratory	A230802	3/17/23 18:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH001_A_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3505	FSES Laboratory	A230804	3/17/23 12:36	PSD-Air	LDPE	St. Helens Air 2021-2023	SH002_A_06	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
