chemical.id,plate.id,well,chemical_plate_well,conc,AXIS,BRAI,CFIN,CIRC,DNC_,DP24,EYE_,JAW_,MO24,MORT,NC24,NC__,OTIC,PE__,PFIN,PIG_,SM24,SNOU,SOMI,SWIM,TRUN,TR__,YSE_
1631,2,A08,1631_2_A08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,2,C02,1631_2_C02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,2,F03,1631_2_F03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,2,H10,1631_2_H10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,1,A05,1664_1_A05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,1,F12,1664_1_F12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,1,G10,1664_1_G10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,2,B06,1664_2_B06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,2,C06,1664_2_C06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,2,D09,1664_2_D09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1664,2,F01,1664_2_F01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,A04,1666_1_A04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,A05,1666_1_A05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,A07,1666_1_A07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,A12,1666_1_A12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,B03,1666_1_B03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,C02,1666_1_C02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,C04,1666_1_C04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,C11,1666_1_C11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
