Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,ids
467,AUC2,Quantal Linear,42.214838971517835,13.725619991651863,277.72355163797215,6.8125,0.0,34.0,0.20036764705882354,4,0.0,1.0,1.0,467 AUC2
467,AUC3,Log Logistic,1.3434590698488158,,1603.1718909711099,7.493055555555555,0.0,34.0,0.22038398692810457,2,0.0,0.0,1.0,467 AUC3
467,AUC4,Quantal Linear,76.75121594587779,15.949159385384082,504.9319339913553,7.409722222222221,0.0,34.0,0.2179330065359477,4,0.0,1.0,1.0,467 AUC4
500,AUC1,Logistic,48.23434307124664,,49.81877557846718,4.05,0.0,50.0,0.081,4,0.0,0.0,0.0,500 AUC1
501,AUC1,Log Logistic,4.796505842526167e-10,,1.424766223628642,40.7875,0.0,50.0,0.81575,4,0.0,0.0,0.0,501 AUC1
501,AUC2,Log Logistic,1.0477371409384686,0.6185287818263001,3.3735095074444326,42.80625,0.0,50.0,0.856125,2,0.0,0.0,0.0,501 AUC2
501,AUC3,Log Logistic,0.6168729651355191,0.3037508233568761,3.011122540729563,42.5125,0.0,50.0,0.8502500000000001,2,0.0,0.0,0.0,501 AUC3
501,AUC4,Log Logistic,0.622031477929266,0.27283924039091634,3.6008462450540466,41.1875,0.0,50.0,0.82375,2,0.0,0.0,0.0,501 AUC4
502,AUC1,Weibull,0.00032519073642541993,,1264.0762744347658,15.5125,0.0,50.0,0.31024999999999997,4,0.0,0.0,1.0,502 AUC1
504,AUC1,Logistic,15415.881986198376,,91632.4919574742,33.534375,0.0,50.0,0.6706875,4,0.0,1.0,1.0,504 AUC1
504,AUC2,Log Logistic,0.8478983318418617,0.4560041114008411,3.548191162577342,42.912499999999994,0.0,50.0,0.8582499999999998,2,0.0,0.0,0.0,504 AUC2
504,AUC3,Log Logistic,0.9260020290282995,0.5077751116452667,3.7281912956505026,42.18125,0.0,50.0,0.843625,2,0.0,0.0,0.0,504 AUC3
504,AUC4,Log Logistic,0.8724690247290194,0.46001653546289717,3.9189488503882655,41.796875,0.0,50.0,0.8359375,2,0.0,0.0,0.0,504 AUC4
505,AUC1,Quantal Linear,11.760228418035943,7.541145982832483,77.36834923223017,33.59027777777778,0.0,67.0,0.5013474295190713,4,0.0,0.0,1.0,505 AUC1
511,AUC1,Probit,4.933473929624707,1.1023607205695394,27.728279020109625,3.0678125,0.0,5.0,0.6135625,4,0.0,0.0,1.0,511 AUC1
511,AUC2,Logistic,4.660048016285611,,4.86393464642493,0.585,0.0,5.0,0.11699999999999999,4,0.0,0.0,0.0,511 AUC2
511,AUC3,Logistic,4.698206138950209,,4.899400279418274,0.54,0.0,5.0,0.10800000000000001,4,0.0,0.0,0.0,511 AUC3
511,AUC4,Logistic,4.714403914135793,,4.875984688287194,0.6074999999999999,0.0,5.0,0.12149999999999998,4,0.0,0.0,0.0,511 AUC4
512,AUC1,Logistic,16.498055998108438,9.463851437013078,85.91680417290955,24.578125,0.0,50.0,0.4915625,4,0.0,0.0,1.0,512 AUC1
512,AUC2,Logistic,24.818707055771668,12.287638250057997,125.23565938083387,20.924999999999997,0.0,50.0,0.4184999999999999,4,0.0,0.0,1.0,512 AUC2
512,AUC3,Log Probit,1.2803281696368841e-53,,0.00022273065111245893,24.9375,0.0,50.0,0.49875,4,0.0,1.0,0.0,512 AUC3
512,AUC4,Quantal Linear,220.611274508525,,1451.360426347358,27.715625,0.0,50.0,0.5543125,4,0.0,1.0,1.0,512 AUC4
512,MOV2,Quantal Linear,29.61908504178061,13.521300333343131,194.85843590734612,13.881250000000001,0.0,50.0,0.277625,4,0.0,0.0,1.0,512 MOV2
513,AUC1,Log Probit,0.0020238347428728695,,243.81459870253997,29.65,0.0,50.0,0.593,4,0.0,0.0,1.0,513 AUC1
513,AUC2,Logistic,33.89449464119726,13.760122171414766,172.75167398815108,20.325,0.0,50.0,0.4065,4,0.0,0.0,1.0,513 AUC2
513,AUC3,Logistic,14.173392662784456,9.979053755293794,65.1441393651725,19.2,0.0,50.0,0.384,4,0.0,0.0,1.0,513 AUC3
513,MOV1,Quantal Linear,29.619940026740487,14.217263877031932,194.86406069392447,12.759374999999999,0.0,50.0,0.25518749999999996,4,0.0,0.0,1.0,513 MOV1
513,MOV3,Logistic,43.07870496481305,17.45609126153674,200.58855386175887,17.171875,0.0,50.0,0.3434375,4,0.0,0.0,1.0,513 MOV3
513,MOV4,Quantal Linear,27.33912064491413,10.304774354289755,179.85897540169066,23.740624999999998,0.0,50.0,0.47481249999999997,4,0.0,0.0,1.0,513 MOV4
514,AUC1,Quantal Linear,286.10984140873506,,1882.2632811230615,15.146875,0.0,50.0,0.30293749999999997,4,0.0,1.0,1.0,514 AUC1
514,AUC3,Log Probit,2.5178802081020044e-37,,172749343.33191764,19.3125,0.0,50.0,0.38625,4,0.0,1.0,1.0,514 AUC3
514,MOV2,Logistic,137.5435110671795,25.949857565530206,594.6402597485371,12.11875,0.0,50.0,0.242375,4,0.0,1.0,1.0,514 MOV2
515,AUC2,Logistic,21.37408767198443,11.4557621685555,107.67555810995738,22.215625,0.0,50.0,0.4443125,4,0.0,0.0,1.0,515 AUC2
515,AUC3,Probit,44.451779545193745,12.291321299321279,241.71564545804202,26.7125,0.0,50.0,0.53425,4,0.0,0.0,1.0,515 AUC3
517,AUC2,Logistic,36.08270538349709,11.674849591757827,199.7290900679322,26.871875,0.0,50.0,0.5374375,4,0.0,0.0,1.0,517 AUC2
517,MOV4,Quantal Linear,71.50123387829431,21.022689443269,470.3932812008359,10.415625,0.0,50.0,0.2083125,4,0.0,1.0,1.0,517 MOV4
588,AUC2,Quantal Linear,5.292667431281988,3.4544959926313332,34.81947183657363,17.3125,0.0,34.0,0.5091911764705882,4,0.0,0.0,1.0,588 AUC2
588,AUC3,Log Probit,0.11719608918634922,,1754.9365018635497,15.618055555555555,0.0,34.0,0.45935457516339867,4,0.0,0.0,1.0,588 AUC3
588,AUC4,Log Probit,0.9198076343797899,,32.42726814467884,21.951388888888886,0.0,34.0,0.6456290849673202,4,0.0,0.0,0.0,588 AUC4
595,AUC1,Weibull,0.07728373094875818,,536.0791635642382,23.951388888888886,0.0,67.0,0.3574834162520729,2,0.0,0.0,1.0,595 AUC1
595,MOV1,Logistic,53.18101138493624,41.88390098535284,110.66827603551621,5.694444444444445,0.0,67.0,0.08499170812603649,3,0.0,0.0,1.0,595 MOV1
597,AUC1,Logistic,50.07739840723811,46.344860994674676,52.45554294992108,0.6749999999999999,0.0,50.0,0.013499999999999998,4,0.0,1.0,1.0,597 AUC1
