Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
363,NC__,NULL,NULL,NULL,0,NULL,NULL
363,MO24,NULL,NULL,NULL,0.22809375,NULL,NULL
363,DP24,NULL,NULL,NULL,0,NULL,NULL
363,SM24,NULL,NULL,NULL,0,NULL,NULL
363,MORT,NULL,NULL,NULL,0.246982813,NULL,NULL
365,AXIS,NULL,NULL,NULL,0.032258065,NULL,NULL
365,NC__,NULL,NULL,NULL,0,NULL,NULL
365,MO24,log_logistic,0.305,6.228,0.6705,-1,0
365,DP24,NULL,NULL,NULL,0,NULL,NULL
365,SM24,NULL,NULL,NULL,0,NULL,NULL
365,MORT,NULL,NULL,NULL,0.03125,NULL,NULL
370,AXIS,NULL,NULL,NULL,0.017073313,NULL,NULL
370,NC__,NULL,NULL,NULL,0,NULL,NULL
370,MO24,NULL,NULL,NULL,0.054598438,NULL,NULL
370,DP24,NULL,NULL,NULL,0.030034044,NULL,NULL
370,SM24,NULL,NULL,NULL,0,NULL,NULL
370,MORT,NULL,NULL,NULL,0.147579688,NULL,NULL
373,AXIS,NULL,NULL,NULL,0.021521739,NULL,NULL
373,NC__,NULL,NULL,NULL,0,NULL,NULL
373,MO24,NULL,NULL,NULL,0.23348125,NULL,NULL
373,DP24,probit,36.206,109.228,0.168369748,0,1
373,SM24,NULL,NULL,NULL,0.021521739,NULL,NULL
373,MORT,weibull,0,72.138,0.515990625,-1,1
380,AXIS,NULL,NULL,NULL,0.035159412,NULL,NULL
380,NC__,NULL,NULL,NULL,0,NULL,NULL
380,MO24,NULL,NULL,NULL,0.090465625,NULL,NULL
380,DP24,NULL,NULL,NULL,0.036179427,NULL,NULL
380,SM24,NULL,NULL,NULL,0,NULL,NULL
380,MORT,NULL,NULL,NULL,0.11129375,NULL,NULL
381,AXIS,logistic,10.474,10.728,0.253720238,0,0
381,NC__,logistic,10.42,10.656,0.265252976,0,0
381,MO24,logistic,38.308,85.518,0.105125,0,1
381,DP24,NULL,NULL,NULL,0,NULL,NULL
381,SM24,NULL,NULL,NULL,0,NULL,NULL
381,MORT,log_logistic,10.904,12.127,0.600395402,0,0
384,AXIS,log_probit,28.69,53.978,0.250046225,0,0
384,NC__,NULL,NULL,NULL,0.000552792,NULL,NULL
384,MO24,NULL,NULL,NULL,0.205223881,NULL,NULL
384,DP24,NULL,NULL,NULL,0,NULL,NULL
384,SM24,NULL,NULL,NULL,0,NULL,NULL
384,MORT,log_probit,13.47,224.29,0.197236623,0,1
392,AXIS,log_logistic,17.808,25.584,0.492304828,0,0
392,NC__,logistic,49.479,50.074,0.045,0,1
392,MO24,logistic,33.812,69.803,0.1115,0,1
392,DP24,NULL,NULL,NULL,0,NULL,NULL
392,SM24,NULL,NULL,NULL,0,NULL,NULL
392,MORT,log_logistic,43.18,53.15,0.071763077,0,1
395,AXIS,NULL,NULL,NULL,0.021739337,NULL,NULL
395,NC__,NULL,NULL,NULL,0,NULL,NULL
395,MO24,NULL,NULL,NULL,0.18050931,NULL,NULL
395,DP24,NULL,NULL,NULL,0.019040734,NULL,NULL
395,SM24,NULL,NULL,NULL,0,NULL,NULL
395,MORT,NULL,NULL,NULL,0.246582418,NULL,NULL
396,AXIS,logistic,132.605,222.445,0.019938547,1,1
396,NC__,NULL,NULL,NULL,0.001938547,NULL,NULL
396,MO24,logistic,53.011,113.818,0.089373438,0,1
396,DP24,NULL,NULL,NULL,0,NULL,NULL
396,SM24,NULL,NULL,NULL,0,NULL,NULL
396,MORT,logistic,48.698,111.058,0.105139062,0,1
401,AXIS,NULL,NULL,NULL,0,NULL,NULL
401,NC__,NULL,NULL,NULL,0,NULL,NULL
401,MO24,NULL,NULL,NULL,0.046734375,NULL,NULL
401,DP24,NULL,NULL,NULL,1.61E-06,NULL,NULL
401,SM24,NULL,NULL,NULL,0,NULL,NULL
401,MORT,NULL,NULL,NULL,0.098128125,NULL,NULL
403,AXIS,NULL,NULL,NULL,1.67E-05,NULL,NULL
403,NC__,NULL,NULL,NULL,0,NULL,NULL
403,MO24,NULL,NULL,NULL,0.1118125,NULL,NULL
403,DP24,NULL,NULL,NULL,0.00200415,NULL,NULL
403,SM24,NULL,NULL,NULL,0,NULL,NULL
403,MORT,NULL,NULL,NULL,0.11538755,NULL,NULL
404,AXIS,NULL,NULL,NULL,0,NULL,NULL
404,NC__,NULL,NULL,NULL,0,NULL,NULL
404,MO24,NULL,NULL,NULL,0.0488125,NULL,NULL
404,DP24,NULL,NULL,NULL,0.003733333,NULL,NULL
404,SM24,NULL,NULL,NULL,0,NULL,NULL
404,MORT,NULL,NULL,NULL,0.0286,NULL,NULL
406,AXIS,NULL,NULL,NULL,0.037870968,NULL,NULL
406,NC__,NULL,NULL,NULL,0,NULL,NULL
406,MO24,NULL,NULL,NULL,0.0235625,NULL,NULL
406,DP24,logistic,73.455,123.278,0.027891129,1,1
406,SM24,NULL,NULL,NULL,0,NULL,NULL
406,MORT,NULL,NULL,NULL,0.0076875,NULL,NULL
409,AXIS,NULL,NULL,NULL,0.003290323,NULL,NULL
409,NC__,NULL,NULL,NULL,0.003290323,NULL,NULL
409,MO24,NULL,NULL,NULL,0.037,NULL,NULL
409,DP24,NULL,NULL,NULL,0.003290323,NULL,NULL
409,SM24,NULL,NULL,NULL,0,NULL,NULL
409,MORT,NULL,NULL,NULL,0,NULL,NULL
412,AXIS,logistic,41.944,50.534,0.06137931,0,1
412,NC__,NULL,NULL,NULL,0,NULL,NULL
412,MO24,NULL,NULL,NULL,0.044625,NULL,NULL
412,DP24,NULL,NULL,NULL,0,NULL,NULL
412,SM24,NULL,NULL,NULL,0,NULL,NULL
412,MORT,logistic,52.431,84.14,0.029809812,1,1
413,AXIS,logistic,21.859,47.479,0.299071401,0,0
413,NC__,NULL,NULL,NULL,0.039121056,NULL,NULL
413,MO24,NULL,NULL,NULL,0.075046875,NULL,NULL
413,DP24,NULL,NULL,NULL,0.048104245,NULL,NULL
413,SM24,NULL,NULL,NULL,0,NULL,NULL
413,MORT,NULL,NULL,NULL,0.145732813,NULL,NULL
414,AXIS,logistic,58.411,88.429,0.032733333,1,1
414,NC__,NULL,NULL,NULL,0,NULL,NULL
414,MO24,NULL,NULL,NULL,0.0545625,NULL,NULL
414,DP24,NULL,NULL,NULL,0.024426075,NULL,NULL
414,SM24,NULL,NULL,NULL,0,NULL,NULL
414,MORT,NULL,NULL,NULL,0.008367742,NULL,NULL
415,AXIS,NULL,NULL,NULL,0.009870968,NULL,NULL
415,NC__,NULL,NULL,NULL,0,NULL,NULL
415,MO24,NULL,NULL,NULL,0.0465625,NULL,NULL
415,DP24,NULL,NULL,NULL,0.013741935,NULL,NULL
415,SM24,NULL,NULL,NULL,0,NULL,NULL
415,MORT,NULL,NULL,NULL,0.001935484,NULL,NULL
416,AXIS,NULL,NULL,NULL,0.019966801,NULL,NULL
416,NC__,NULL,NULL,NULL,0,NULL,NULL
416,MO24,NULL,NULL,NULL,0.0376875,NULL,NULL
416,DP24,logistic,6.423,11.018,0.039594758,1,1
416,SM24,NULL,NULL,NULL,0,NULL,NULL
416,MORT,NULL,NULL,NULL,0.012516129,NULL,NULL
417,AXIS,NULL,NULL,NULL,0.038612236,NULL,NULL
417,NC__,NULL,NULL,NULL,0,NULL,NULL
417,MO24,NULL,NULL,NULL,0.058625,NULL,NULL
417,DP24,NULL,NULL,NULL,0.041903226,NULL,NULL
417,SM24,NULL,NULL,NULL,0,NULL,NULL
417,MORT,NULL,NULL,NULL,0.006645161,NULL,NULL
419,AXIS,NULL,NULL,NULL,0.001666667,NULL,NULL
419,NC__,NULL,NULL,NULL,0,NULL,NULL
419,MO24,logistic,63.05,106.455,0.044375,1,1
