Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag
2414,AUC1,NULL,NULL,NULL,NULL,12.672700037078236,0.0,64.0,5,NULL,NULL,NULL
2415,MOV1,gamma,0.0,NULL,2665.876,37.362512201963526,0.0,64.0,4,0,1,1
2415,AUC1,NULL,NULL,NULL,NULL,15.546546183129635,0.0,64.0,5,NULL,NULL,NULL
2417,MOV1,NULL,NULL,NULL,NULL,19.48560898446834,0.0,64.0,5,NULL,NULL,NULL
2417,AUC1,NULL,NULL,NULL,NULL,6.335765639187575,0.0,64.0,5,NULL,NULL,NULL
2432,MOV1,gamma,0.0,NULL,5263.987,24.024035164835166,0.0,64.0,4,0,1,1
2432,AUC1,NULL,NULL,NULL,NULL,19.09500105820106,0.0,64.0,5,NULL,NULL,NULL
2467,MOV1,NULL,NULL,NULL,NULL,13.155358241758243,0.0,64.0,5,NULL,NULL,NULL
2467,AUC1,NULL,NULL,NULL,NULL,10.696105494505494,0.0,64.0,5,NULL,NULL,NULL
2496,MOV1,NULL,NULL,NULL,NULL,29.468758232439335,0.0,64.0,5,NULL,NULL,NULL
2496,AUC1,NULL,NULL,NULL,NULL,20.442496653895276,0.0,64.0,5,NULL,NULL,NULL
2506,MOV1,NULL,NULL,NULL,NULL,16.758258410579657,0.0,64.0,5,NULL,NULL,NULL
2506,AUC1,NULL,NULL,NULL,NULL,3.369323281011824,0.0,64.0,5,NULL,NULL,NULL
2573,MOV1,NULL,NULL,NULL,NULL,0.3362569696969698,0.0,0.64,5,NULL,NULL,NULL
2573,AUC1,quantal_linear,0.796,NULL,5.24,0.2124339393939394,0.0,0.64,4,0,0,1
2596,MOV1,gamma,0.0,NULL,15843914.729,24.053319032967035,0.0,64.0,4,0,1,1
2596,AUC1,log_probit,0.0,NULL,0.0,14.635328703296704,0.0,64.0,4,0,1,0
2638,MOV1,NULL,NULL,NULL,NULL,17.01983734989648,0.0,64.0,5,NULL,NULL,NULL
2638,AUC1,NULL,NULL,NULL,NULL,1.6462598757763978,0.0,64.0,5,NULL,NULL,NULL
2655,MOV1,log_logistic,0.0,NULL,0.0,33.451004926108375,0.0,64.0,4,0,1,0
2655,AUC1,NULL,NULL,NULL,NULL,30.046513300492613,0.0,64.0,5,NULL,NULL,NULL
2657,MOV1,NULL,NULL,NULL,NULL,22.321429249011857,0.0,64.0,5,NULL,NULL,NULL
2657,AUC1,logistic,12.215,6.987,31.867,25.810763109354415,0.0,64.0,4,0,0,0
2661,MOV1,NULL,NULL,NULL,NULL,20.307389128661477,0.0,64.0,5,NULL,NULL,NULL
2661,AUC1,NULL,NULL,NULL,NULL,17.47659212458287,0.0,64.0,5,NULL,NULL,NULL
