Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,bmdrc.Endpoint.ID
C89598,ANY120,,,,,6.40625,0.0,50.0,0.128125,0,0,0,0,C89598 ANY120
C89598,ANY24,,,,,5.2625,0.0,50.0,0.10525000000000001,0,0,0,0,C89598 ANY24
C89598,AXIS,,,,,0.3733333333333333,0.0,50.0,0.007466666666666666,0,0,0,0,C89598 AXIS
C89598,BRAI,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 BRAI
C89598,BRN_,,,,,1.59375,0.0,50.0,0.031875,0,0,0,0,C89598 BRN_
C89598,CFIN,,,,,0.33999999999999997,0.0,50.0,0.0068,0,0,0,0,C89598 CFIN
C89598,CRAN,,,,,1.1125,0.0,50.0,0.022250000000000002,0,0,0,0,C89598 CRAN
C88151,DP24,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 DP24
C89598,DP24,,,,,2.9699999999999998,0.0,50.0,0.059399999999999994,0,0,0,0,C89598 DP24
C89598,EDEM,,,,,1.59375,0.0,50.0,0.031875,0,0,0,0,C89598 EDEM
C89598,EYE_,,,,,1.1025,0.0,50.0,0.02205,0,0,0,0,C89598 EYE_
C89598,JAW_,,,,,1.1358333333333335,0.0,50.0,0.02271666666666667,0,0,0,0,C89598 JAW_
C89598,LTRK,,,,,0.31875,0.0,50.0,0.006375,0,0,0,0,C89598 LTRK
C89598,MORT,,,,,1.885,0.0,50.0,0.0377,0,0,0,0,C89598 MORT
C89598,MUSC,,,,,1.1125,0.0,50.0,0.022250000000000002,0,0,0,0,C89598 MUSC
C89598,NC24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 NC24
C89598,NC__,,,,,0.03333333333333333,0.0,50.0,0.0006666666666666666,0,0,0,0,C89598 NC__
C89598,OTIC,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 OTIC
C89598,PE__,,,,,1.6470833333333335,0.0,50.0,0.03294166666666667,0,0,0,0,C89598 PE__
C89598,PFIN,,,,,1.6470833333333335,0.0,50.0,0.03294166666666667,0,0,0,0,C89598 PFIN
C89598,PIG_,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 PIG_
C89598,SKIN,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 SKIN
C88151,NC24,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 NC24
C88151,CIRC,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 CIRC
C89598,SNOU,,,,,1.1358333333333335,0.0,50.0,0.02271666666666667,0,0,0,0,C89598 SNOU
C85940,SM24,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 SM24
C85940,CIRC,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 CIRC
C85940,CRAN,,,,,1.3562500000000004,0.0,80.0,0.016953125000000006,0,0,0,0,C85940 CRAN
C85940,DP24,,,,,0.6283333333333333,0.0,80.0,0.007854166666666666,0,0,0,0,C85940 DP24
C85940,EYE_,,,,,1.572994505494506,0.0,80.0,0.019662431318681325,0,0,0,0,C85940 EYE_
C85940,JAW_,,,,,1.5638278388278395,0.0,80.0,0.019547847985347994,0,0,0,0,C85940 JAW_
C85940,MORT,,,,,0.3766666666666668,0.0,80.0,0.004708333333333335,0,0,0,0,C85940 MORT
C85940,MUSC,,,,,0.7218750000000003,0.0,80.0,0.009023437500000004,0,0,0,0,C85940 MUSC
C85940,NC24,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 NC24
C85940,NC__,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 NC__
C85940,OTIC,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 OTIC
C85940,PE__,,,,,2.185494505494506,0.0,80.0,0.027318681318681325,0,0,0,0,C85940 PE__
C85940,PFIN,,,,,2.2013278388278392,0.0,80.0,0.02751659798534799,0,0,0,0,C85940 PFIN
C85940,PIG_,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 PIG_
C85940,SKIN,,,,,0.0,0.0,80.0,0.0,0,0,0,0,C85940 SKIN
C85940,SNOU,,,,,1.5638278388278395,0.0,80.0,0.019547847985347994,0,0,0,0,C85940 SNOU
C88151,ANY24,,,,,0.12541666666666668,0.0,5.0,0.025083333333333336,0,0,0,0,C88151 ANY24
C85940,SOMI,,,,,0.7835714285714289,0.0,80.0,0.009794642857142861,0,0,0,0,C85940 SOMI
C85940,SWIM,,,,,0.0125,0.0,80.0,0.00015625,0,0,0,0,C85940 SWIM
C85940,TCHR,,,,,0.7093750000000003,0.0,80.0,0.008867187500000004,0,0,0,0,C85940 TCHR
C85940,TR__,,,,,0.7835714285714289,0.0,80.0,0.009794642857142861,0,0,0,0,C85940 TR__
C86667,ALL_BUT_MORT,,,,,16.05,0.0,50.0,0.321,0,0,0,0,C86667 ALL_BUT_MORT
C86667,BRN_,,,,,3.75625,0.0,50.0,0.075125,0,0,0,0,C86667 BRN_
C86667,CRAN,,,,,3.95,0.0,50.0,0.079,0,0,0,0,C86667 CRAN
