Chemical_ID,End_Point,BMD_Flag
339,ANY120,
339,ANY24,
339,AXIS,
339,BRN_,
339,CRAN,1.0
339,DP24,
339,EDEM,1.0
339,LTRK,
339,MO24,
339,MORT,
339,MUSC,1.0
339,NC24,
339,NC__,
339,SKIN,1.0
339,SM24,
339,TCHR,1.0
339,TOT_MORT,
342,ALL_BUT_MORT,1.0
342,ANY120,0.0
342,ANY24,0.0
342,AXIS,1.0
342,BRN_,
342,CRAN,
342,DP24,1.0
342,EDEM,1.0
342,LTRK,1.0
342,MO24,
342,MORT,1.0
342,MUSC,1.0
342,NC24,
342,NC__,
342,SKIN,1.0
342,SM24,
342,TCHR,1.0
342,TOT_MORT,1.0
355,ALL_BUT_MORT,
355,ANY120,
355,ANY24,
355,AXIS,
355,BRN_,
355,CRAN,
355,DP24,
355,EDEM,
355,LTRK,
355,MO24,
355,MORT,
355,MUSC,
355,NC24,
355,NC__,
355,SKIN,
355,SM24,
355,TCHR,
355,TOT_MORT,
357,ALL_BUT_MORT,0.0
357,ANY120,
357,ANY24,
357,AXIS,1.0
357,BRN_,1.0
357,CRAN,
357,DP24,1.0
357,EDEM,
357,LTRK,
357,MO24,
357,MORT,
357,MUSC,
357,NC24,
357,NC__,1.0
357,SKIN,1.0
357,SM24,
357,TCHR,
357,TOT_MORT,
360,ALL_BUT_MORT,0.0
360,ANY120,0.0
360,ANY24,1.0
360,AXIS,0.0
360,BRN_,0.0
360,CRAN,0.0
360,DP24,
360,EDEM,0.0
360,LTRK,1.0
360,MO24,1.0
360,MORT,1.0
360,MUSC,
360,NC24,
360,NC__,
360,SKIN,
360,SM24,
360,TCHR,
360,TOT_MORT,0.0
362,ALL_BUT_MORT,0.0
362,ANY120,0.0
362,ANY24,0.0
362,AXIS,0.0
362,BRN_,
362,CRAN,0.0
362,DP24,0.0
362,EDEM,0.0
362,LTRK,0.0
362,MO24,
362,MORT,0.0
362,MUSC,0.0
362,NC24,
362,NC__,
362,SKIN,1.0
362,SM24,
362,TCHR,0.0
362,TOT_MORT,0.0
363,ALL_BUT_MORT,1.0
363,ANY120,1.0
363,ANY24,0.0
363,AXIS,
363,BRN_,
363,CRAN,1.0
363,DP24,
363,EDEM,1.0
363,LTRK,
363,MO24,0.0
363,MORT,
363,MUSC,
363,NC24,
363,NC__,
363,SKIN,
363,SM24,
363,TCHR,
363,TOT_MORT,
365,ALL_BUT_MORT,
365,ANY120,-1.0
365,ANY24,-1.0
365,AXIS,
365,BRN_,
365,CRAN,
365,DP24,
365,EDEM,
365,LTRK,
365,MO24,-1.0
365,MORT,0.0
365,MUSC,
365,NC24,
365,NC__,
365,SKIN,
365,SM24,
365,TCHR,
365,TOT_MORT,0.0
370,ALL_BUT_MORT,
370,ANY120,
370,ANY24,
370,AXIS,
370,BRN_,
370,CRAN,
370,DP24,
370,EDEM,
370,LTRK,
370,MO24,
370,MORT,
370,MUSC,
370,NC24,
370,NC__,
370,SKIN,
370,SM24,
370,TCHR,
370,TOT_MORT,
373,ALL_BUT_MORT,0.0
373,ANY120,-1.0
373,ANY24,-1.0
373,AXIS,
373,BRN_,
373,CRAN,
373,DP24,0.0
373,EDEM,
373,LTRK,
373,MO24,-1.0
373,MORT,-1.0
373,MUSC,
373,NC24,
373,NC__,
373,SKIN,
373,SM24,1.0
373,TCHR,
373,TOT_MORT,-1.0
380,ALL_BUT_MORT,
380,ANY120,
380,ANY24,
380,AXIS,
380,BRN_,
380,CRAN,
380,DP24,
380,EDEM,
380,LTRK,
380,MO24,1.0
380,MORT,
380,MUSC,
380,NC24,
380,NC__,
380,SKIN,
380,SM24,
380,TCHR,
380,TOT_MORT,
381,ALL_BUT_MORT,
381,ANY120,0.0
381,ANY24,0.0
381,AXIS,0.0
381,BRN_,0.0
381,CRAN,0.0
381,DP24,
381,EDEM,0.0
381,LTRK,0.0
381,MO24,0.0
381,MORT,0.0
381,MUSC,0.0
381,NC24,
381,NC__,0.0
381,SKIN,
381,SM24,
381,TCHR,0.0
381,TOT_MORT,0.0
384,ALL_BUT_MORT,0.0
384,ANY120,0.0
384,ANY24,1.0
384,AXIS,0.0
384,BRN_,0.0
384,CRAN,0.0
384,DP24,
384,EDEM,0.0
384,LTRK,0.0
384,MO24,1.0
384,MORT,0.0
384,MUSC,
384,NC24,
384,NC__,
384,SKIN,
384,SM24,
384,TCHR,1.0
384,TOT_MORT,0.0
392,ALL_BUT_MORT,0.0
392,ANY120,0.0
392,ANY24,0.0
392,AXIS,0.0
392,BRN_,0.0
392,CRAN,0.0
392,DP24,
392,EDEM,0.0
392,LTRK,0.0
392,MO24,0.0
392,MORT,0.0
392,MUSC,0.0
392,NC24,
392,NC__,0.0
392,SKIN,0.0
392,SM24,
392,TCHR,0.0
392,TOT_MORT,0.0
395,ALL_BUT_MORT,
395,ANY120,
395,ANY24,
395,AXIS,
395,BRN_,
395,CRAN,
395,DP24,
395,EDEM,
395,LTRK,
395,MO24,
395,MORT,
395,MUSC,
395,NC24,
395,NC__,
395,SKIN,
395,SM24,
395,TCHR,
395,TOT_MORT,
396,ALL_BUT_MORT,1.0
396,ANY120,0.0
396,ANY24,0.0
396,AXIS,1.0
396,BRN_,
396,CRAN,1.0
396,DP24,
396,EDEM,1.0
396,LTRK,1.0
396,MO24,0.0
396,MORT,0.0
396,MUSC,1.0
396,NC24,
396,NC__,
396,SKIN,
396,SM24,
396,TCHR,1.0
396,TOT_MORT,0.0
401,ALL_BUT_MORT,
401,ANY120,
401,ANY24,
401,AXIS,
401,BRN_,1.0
401,CRAN,1.0
401,DP24,
401,EDEM,1.0
401,LTRK,
401,MO24,
401,MORT,
401,MUSC,
401,NC24,
401,NC__,
401,SKIN,1.0
401,SM24,
401,TCHR,
401,TOT_MORT,
403,ALL_BUT_MORT,
403,ANY120,
403,ANY24,0.0
403,AXIS,
403,BRN_,
403,CRAN,
403,DP24,
403,EDEM,
403,LTRK,
403,MO24,0.0
403,MORT,0.0
403,MUSC,
403,NC24,
403,NC__,
403,SKIN,
403,SM24,
403,TCHR,
403,TOT_MORT,0.0
404,ALL_BUT_MORT,
404,ANY120,1.0
404,ANY24,
404,AXIS,
404,BRN_,1.0
404,CRAN,
404,DP24,
404,EDEM,1.0
404,LTRK,
404,MO24,
404,MORT,1.0
404,MUSC,
404,NC24,
404,NC__,
404,SKIN,
404,SM24,
404,TCHR,
404,TOT_MORT,1.0
406,ALL_BUT_MORT,1.0
406,ANY120,
406,ANY24,1.0
406,AXIS,1.0
406,BRN_,
406,CRAN,
406,DP24,1.0
406,EDEM,
406,LTRK,1.0
406,MO24,
406,MORT,1.0
406,MUSC,
406,NC24,
406,NC__,
406,SKIN,
406,SM24,
406,TCHR,1.0
406,TOT_MORT,
409,ALL_BUT_MORT,
409,ANY120,1.0
409,ANY24,1.0
409,AXIS,
409,BRN_,
409,CRAN,
409,DP24,
409,EDEM,
409,LTRK,
409,MO24,1.0
409,MORT,
409,MUSC,
409,NC24,
409,NC__,
409,SKIN,
409,SM24,
409,TCHR,
409,TOT_MORT,1.0
412,ALL_BUT_MORT,0.0
412,ANY120,0.0
412,ANY24,
412,AXIS,0.0
412,BRN_,0.0
412,CRAN,0.0
412,DP24,
412,EDEM,0.0
412,LTRK,0.0
412,MO24,
412,MORT,0.0
412,MUSC,0.0
412,NC24,
412,NC__,
412,SKIN,
412,SM24,
412,TCHR,
412,TOT_MORT,0.0
413,ALL_BUT_MORT,0.0
413,ANY120,0.0
413,ANY24,
413,AXIS,0.0
413,BRN_,0.0
413,CRAN,0.0
413,DP24,
413,EDEM,0.0
413,LTRK,
413,MO24,
413,MORT,
413,MUSC,
413,NC24,
413,NC__,
413,SKIN,0.0
413,SM24,
413,TCHR,
413,TOT_MORT,
414,ALL_BUT_MORT,0.0
414,ANY120,0.0
414,ANY24,1.0
414,AXIS,1.0
414,BRN_,1.0
414,CRAN,0.0
414,DP24,
414,EDEM,0.0
414,LTRK,1.0
414,MO24,1.0
414,MORT,
414,MUSC,
414,NC24,
414,NC__,
414,SKIN,
414,SM24,
414,TCHR,1.0
414,TOT_MORT,
415,ALL_BUT_MORT,
415,ANY120,
415,ANY24,
415,AXIS,
415,BRN_,
415,CRAN,
415,DP24,
415,EDEM,
415,LTRK,
