"cas_number","zf.cid","Chemical_ID","chemical_class"
"2212-67-1","2182",2182,"Herbicide"
"2385-85-5","2180",2180,"Insecticide"
"NOCAS_34742","2179",2179,NA
"84371-65-3","2178",2178,NA
"90-94-8","2165",2165,NA
"113-48-4","2164",2164,NA
"7786-34-7","2163",2163,"Insecticide"
"21087-64-9","2162",2162,"Herbicide"
"51218-45-2","2161",2161,"Herbicide"
"99-76-3","2160",2160,NA
"93-15-2","2159",2159,NA
"6317-18-6","2157",2157,NA
"41372-08-1","2156",2156,NA
"119-36-8","2155",2155,NA
"298-00-0","2154",2154,"Fungicide"
"111-11-5","2153",2153,NA
"66-27-3","2152",2152,NA
"115-09-3","2151",2151,NA
"556-61-6","2150",2150,NA
"111-82-0","2149",2149,NA
"134-20-3","2144",2144,NA
"161050-58-4","2143",2143,NA
"72-43-5","2142",2142,"Insecticide"
"59-05-2","2141",2141,NA
"16752-77-5","2140",2140,"Insecticide"
"60-56-0","2139",2139,NA
"950-37-8","2138",2138,"Insecticide"
"100-97-0","2137",2137,NA
"10265-92-6","2135",2135,"Insecticide"
"1095-90-5","2134",2134,NA
"79-39-0","2132",2132,NA
"6734-80-1","2131",2131,NA
"57837-19-1","2130",2130,"Fungicide"
"104206-82-8","2129",2129,NA
"84-16-2","2128",2128,"Pharmacological"
"7487-94-7","2124",2124,NA
"24307-26-4","2123",2123,NA
"110235-47-7","2122",2122,"Fungicide"
"12108-13-3","2110",2110,NA
"12427-38-2","2109",2109,NA
"2234562","2108",2108,NA
"118-71-8","2106",2106,NA
"123-33-1","2105",2105,NA
"121-75-5","2104",2104,"Insecticide"
"1634-78-2","2103",2103,"Insecticide"
"73-22-3","2098",2098,NA
"87-69-4","2097",2097,NA
"75330-75-5","2096",2096,NA
"330-55-2","2091",2091,"Herbicide"
"58-89-9","2090",2090,"Fungicide"
"6080-56-4","2076",2076,NA
"50-81-7","2067",2067,NA
"77501-63-4","2064",2064,"Herbicide"
