Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
1817,TOT_MORT,Weibull,9.383371897984183,1.1135881542016874,47.321363475305226,30.0336,0.0,64.0,0.469275,Pass,Good,Pass,Pass,5.0,0.8533103351879245,1817 TOT_MORT
4107,ANY120,Gamma,0.2635739347430608,0.056762345663294425,15.357741836577796,67.59385714285715,0.0,100.0,0.6759385714285715,Pass,Good,Pass,Pass,10.0,0.9260847332207951,4107 ANY120
4107,ANY24,Gamma,0.5237564924284268,0.11406025176908122,28.2593570325493,46.891714285714286,0.0,100.0,0.46891714285714287,Pass,Good,Pass,Pass,10.0,0.9353455805530031,4107 ANY24
4107,TOT_MORT,Gamma,4.263888831771818,0.9004550389361872,34.67264986683498,57.947857142857146,0.0,100.0,0.5794785714285715,Pass,Good,Pass,Pass,10.0,0.8412794994365718,4107 TOT_MORT
4111,ALL_BUT_MORT,Gamma,1.080397633547246,0.5942186984509853,3.72478956989284,93.97142857142856,0.0,100.0,0.9397142857142856,Pass,Good,Pass,Pass,10.0,0.9236352695512354,4111 ALL_BUT_MORT
4111,ANY120,Log Logistic,1.2983575219477062,0.7140966370712384,1.6591036567346529,98.1445,0.0,100.0,0.9814449999999999,Pass,Good,Pass,Pass,10.0,0.9115733152582457,4111 ANY120
4111,ANY24,Log Logistic,3.0165392325929226,1.6590965779261073,3.6929848116081683,95.12260714285713,0.0,100.0,0.9512260714285713,Pass,Good,Pass,Pass,10.0,0.895786969966776,4111 ANY24
1817,AXIS,Gamma,7.719174173394665,2.050782552609393,39.09824992167107,17.34,0.0,64.0,0.2709375,Pass,Good,Pass,Pass,5.0,0.753702346348183,1817 AXIS
1215,TOT_MORT,Log Logistic,18.17766742709688,16.966451635461038,19.593089894382942,12.583333333333332,0.0,34.0,0.37009803921568624,Pass,Good,Pass,Pass,7.0,0.7108949717500228,1215 TOT_MORT
3104,TOT_MORT,Log Logistic,0.504671972727003,0.2775695849998517,0.6722212582454759,61.1194,0.0,64.0,0.954990625,Pass,Good,Pass,Pass,5.0,0.9856107606091623,3104 TOT_MORT
227,ANY120,Log Logistic,1.5826589120389805,0.8704624016214393,1.942358500132527,47.145833333333336,0.0,50.0,0.9429166666666667,Pass,Good,Pass,Pass,5.0,0.7775419143502352,227 ANY120
49,AXIS,Quantal Linear,4.520408017735119,3.0861496535142785,29.738921197477296,26.61098901098901,0.0,50.0,0.5322197802197802,Pass,Good,Pass,Pass,5.0,0.8857142857142857,49 AXIS
511,ANY120,Log Logistic,0.11702587178917255,0.0643642294840449,0.14603738982349504,4.741666666666667,0.0,5.0,0.9483333333333335,Pass,Good,Pass,Pass,5.0,0.8451542547285166,511 ANY120
4020,ANY24,Log Logistic,1.1834305374062453,0.6508867955734349,1.5225956908137026,97.77221428571428,0.0,100.0,0.9777221428571429,Pass,Good,Pass,Pass,10.0,0.8706264587192428,4020 ANY24
2165,ALL_BUT_MORT,Gamma,2.49636567184673,0.7646948262856671,10.083567675339326,42.501999999999995,0.0,64.0,0.6640937499999999,Pass,Good,Pass,Pass,5.0,0.753702346348183,2165 ALL_BUT_MORT
505,TOT_MORT,Log Logistic,1.6752488175920024,0.9213868496756014,2.065436714786241,64.72916666666667,0.0,67.0,0.9661069651741294,Pass,Good,Pass,Pass,7.0,0.8728715609439696,505 TOT_MORT
4020,AXIS,Log Logistic,2.4654274314897626,1.3559850873193695,3.0388227506049694,7.4209523809523805,0.0,100.0,0.07420952380952381,Pass,Good,Pass,Pass,10.0,0.772315083521806,4020 AXIS
505,ANY120,Log Logistic,0.9697079756222206,0.799890707332714,1.3373958918386488,65.75,0.0,67.0,0.9813432835820896,Pass,Good,Pass,Pass,7.0,0.8728715609439696,505 ANY120
504,TOT_MORT,Log Logistic,4.24164968025357,2.3329073241394633,4.935213265501389,46.09375,0.0,50.0,0.921875,Pass,Good,Pass,Pass,5.0,0.9411239481143202,504 TOT_MORT
504,MO24,Log Logistic,6.630069613815746,4.819992625131796,10.644343739357591,34.25625,0.0,50.0,0.685125,Pass,Good,Pass,Pass,5.0,0.9710083124552245,504 MO24
504,AXIS,Logistic,5.32508734236087,2.9287980382984786,7.854056936083544,0.0,0.0,50.0,0.0,Pass,Good,Pass,Pass,5.0,0.8660254037844387,504 AXIS
504,ANY24,Log Logistic,2.7956839080508225,1.1948545530844163,5.866604230797489,41.38125,0.0,50.0,0.827625,Pass,Good,Pass,Pass,5.0,0.9856107606091623,504 ANY24
504,ANY120,Log Logistic,0.6023805917880856,0.2971606991618666,2.075623448793885,46.762499999999996,0.0,50.0,0.9352499999999999,Pass,Good,Pass,Pass,5.0,0.9411239481143202,504 ANY120
503,TOT_MORT,Probit,8.388074440134297,6.995625412895695,30.391715053372476,20.799999999999997,0.0,50.0,0.4159999999999999,Pass,Good,Pass,Pass,5.0,0.9411239481143202,503 TOT_MORT
4020,TOT_MORT,Gamma,1.7801531623901834,0.9790842393146009,5.384304846064262,91.89828571428572,0.0,100.0,0.9189828571428572,Pass,Good,Pass,Pass,10.0,0.8004987358916188,4020 TOT_MORT
503,AXIS,Gamma,7.643017424893729,5.933414747968037,18.05437963770369,28.593333333333334,0.0,50.0,0.5718666666666666,Pass,Good,Pass,Pass,5.0,0.9856107606091623,503 AXIS
2165,AXIS,Gamma,2.806095991739591,1.0692075230244091,18.797956798828523,35.885714285714286,0.0,64.0,0.5607142857142857,Pass,Good,Pass,Pass,5.0,0.9411239481143202,2165 AXIS
503,ANY120,Log Logistic,7.503058901034575,4.796022659836114,13.758951138502152,34.306250000000006,0.0,50.0,0.6861250000000001,Pass,Good,Pass,Pass,5.0,0.9856107606091623,503 ANY120
