"Dose","Response","CI_Lo","CI_Hi","End Point Name","endPointLink","Sample_ID"
0.0025,0,0,0.098900992324404,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","132"
0.005,0.0810810810810811,0.0531205069806331,0.131925712411803,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","132"
0.01,0.0294117647058824,0.0242008584296134,0.119743968220977,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","132"
0,0.0833333333333333,0.0684682389284162,0.270546577807784,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","132"
0.00125,0.0285714285714286,0.0235099367159844,0.116759443764708,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","132"
0.0025,0,0,0.098900992324404,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","132"
0.005,0.0540540540540541,0.0391030772208964,0.122992489454077,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","132"
0.01,0.0294117647058824,0.0242008584296134,0.119743968220977,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","132"
0,0,1.38777878078145e-17,0.242494006655241,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","132"
0.00125,0.0857142857142857,0.0561319174473159,0.138078453944679,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","132"
0.0025,0.0571428571428571,0.0413296952857485,0.128927717058792,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","132"
0.005,0.027027027027027,0.0222400525750866,0.111213671610278,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","132"
0.01,0,0,0.101514554153324,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","132"
0,0.0769230769230769,0.0632126556805203,0.256216432287919,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","132"
0.00125,0.102564102564103,0.0619507891174187,0.133224442064463,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","132"
0.0025,0.125,0.070404997490546,0.136121198388511,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","132"
0.005,0.0263157894736842,0.0216552017879154,0.108632971685837,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","132"
0.01,0.0810810810810811,0.0531205069806331,0.131925712411803,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","132"
0,0.0666666666666667,0.0547997711733981,0.231498632071134,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","177"
8e-05,0.0789473684210526,0.0517327729140649,0.129046346156662,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","177"
4e-04,0.0526315789473684,0.038077370800076,0.120223042370335,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","177"
0.002,0.0303030303030303,0.0249336197661585,0.122884223518159,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","177"
0.01,0,0,0.0876216011972866,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","177"
0,0.0666666666666667,0.0547997711733981,0.231498632071134,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","177"
8e-05,0.0789473684210526,0.0517327729140649,0.129046346156662,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","177"
4e-04,0.0526315789473684,0.038077370800076,0.120223042370335,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","177"
0.002,0.0303030303030303,0.0249336197661585,0.122884223518159,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","177"
0.01,0,0,0.0876216011972866,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","177"
