"Project","cas_number","Conc","Link","nGenes"
"HEPG2","108-94-1","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression",50
"HEPG2","108-94-1","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression",45
"HEPG2","108-94-1","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression",27
"HEPG2","108-94-1","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression",52
"HEPG2","108-94-1","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression",60
"HEPG2","108-95-2","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression",41
"HEPG2","108-95-2","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression",41
"HEPG2","108-95-2","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression",51
"HEPG2","108-95-2","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression",35
"HEPG2","108-95-2","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression",60
"HEPG2","108-95-2","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression",43
"HEPG2","110-44-1","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression",47
"HEPG2","110-44-1","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression",224
"HEPG2","110-44-1","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression",135
"HEPG2","110-44-1","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression",140
"HEPG2","110-44-1","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression",101
"HEPG2","110-44-1","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression",85
"HEPG2","111-30-8","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression",44
"HEPG2","111-30-8","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression",32
"HEPG2","111-30-8","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression",68
"HEPG2","111-30-8","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression",62
"HEPG2","111-30-8","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression",98
"HEPG2","111-30-8","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression",58
"HEPG2","115-28-6","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression",47
"HEPG2","115-28-6","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression",162
"HEPG2","115-28-6","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression",64
