SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,water_concentration,water_concentration_unit,bioassay_sample_from_lims,parent_samples_from_lims,child_samples_from_lims
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,82-86-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",948,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,83-32-9,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",947,432.044575,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,84-11-7,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",747,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,84-51-5,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",381,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,84-65-1,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",746,528.2975372,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,85-01-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",2635,2598.680544,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,86-73-7,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1855,652.4732775,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,90-12-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",250,402.9303198,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,90-47-1,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",3273,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,91-20-3,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",2323,213.4069499,NA,NA,10OCT18-03-005,NA,NA
