chem_lims_num,date_deployed,date_sampled,latitude,longitude,primary_loc,psds_per_ml,sample_matrix,sample_name,sample_parent,secondary_loc,technology,zaap_cid,extract_exp,zf_lims_id,measurement_value,unit,cas_number
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,524-42-5
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,53-70-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,548-39-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,136.270572,pg/ul,56-55-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,460,pg/ul,569-15-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,11.2861026,pg/ul,573-98-8
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,5737-13-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,50.1854292,pg/ul,575-43-9
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,582.654107,pg/ul,613-06-9
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,2273.574146,pg/ul,613-12-7
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,635-12-1
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,11/1/6373
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,779-02-2
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,82-05-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,82-86-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,37.3092576,pg/ul,83-32-9
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,84-11-7
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,84-51-5
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,530,pg/ul,84-65-1
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,581.9720064,pg/ul,85-01-8
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,74.7825552,pg/ul,86-73-7
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,54.7287678,pg/ul,90-12-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,90-47-1
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,46.4555034,pg/ul,91-20-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,74.866086,pg/ul,91-57-6
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,1090-13-7
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,109699-80-1
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,852.147324,pg/ul,129-00-0
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,130-15-4
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,44.2949,pg/ul,132-65-0
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,959.9116224,pg/ul,1576-67-6
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,99.505539,pg/ul,1705-85-7
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,191-24-2
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,191-30-0
